DwellingType,EnergyRating,BerRatingMean,UValueWallMean,UValueRoofMean,UValueFloorMean,UValueWindowMean,UValueDoorMean
End of terrace house,C3,212.93,0.50,0.28,0.55,2.73,2.63
Ground-floor apartment,C3,213.44,0.55,0.11,0.39,2.59,2.15
House,C3,214.20,0.43,0.24,0.50,2.72,2.67
Maisonette,C3,212.71,0.54,0.28,0.36,2.71,2.66
Mid-floor apartment,C3,212.56,0.66,0.06,0.08,2.70,1.61
Mid-terrace house,C3,212.88,0.68,0.35,0.48,2.81,2.58
Semi-detached house,C3,213.32,0.56,0.30,0.48,2.72,2.69
Top-floor apartment,C3,212.97,0.56,0.31,0.11,2.60,1.85
Apartment,D1,244.02,0.46,0.14,0.20,2.63,2.21
Basement Dwelling,D1,243.78,0.59,0.19,0.47,2.99,1.88
Detached house,D1,242.91,0.57,0.32,0.54,2.82,2.72
End of terrace house,D1,242.30,0.61,0.34,0.59,2.83,2.59
Ground-floor apartment,D1,243.38,0.59,0.11,0.41,2.69,2.05
House,D1,243.21,0.49,0.27,0.55,2.85,2.69
Maisonette,D1,242.15,0.57,0.29,0.42,2.70,2.62
Mid-floor apartment,D1,241.75,0.72,0.06,0.10,2.77,1.70
Mid-terrace house,D1,242.57,0.87,0.44,0.51,2.93,2.58
Semi-detached house,D1,242.53,0.67,0.35,0.52,2.83,2.64
Top-floor apartment,D1,242.77,0.59,0.33,0.13,2.69,1.78
Apartment,D2,281.78,0.53,0.18,0.22,2.79,2.32
Basement Dwelling,D2,279.03,0.87,0.49,0.55,2.81,1.85
Detached house,D2,280.50,0.71,0.38,0.60,2.92,2.69
End of terrace house,D2,280.22,0.81,0.42,0.62,2.91,2.60
Ground-floor apartment,D2,280.40,0.66,0.12,0.44,2.76,2.07
House,D2,280.80,0.62,0.34,0.60,2.97,2.68
Maisonette,D2,280.02,0.64,0.32,0.44,2.78,2.68
Mid-floor apartment,D2,279.22,0.79,0.08,0.21,2.86,1.76
Mid-terrace house,D2,280.35,1.13,0.59,0.54,3.04,2.62
Semi-detached house,D2,279.72,0.88,0.43,0.57,2.95,2.59
Top-floor apartment,D2,279.99,0.65,0.36,0.13,2.75,1.85
Apartment,E1,322.54,0.58,0.23,0.31,2.83,2.34
Basement Dwelling,E1,320.05,1.22,0.26,0.55,3.10,2.31
Detached house,E1,320.40,0.90,0.49,0.65,3.04,2.70
End of terrace house,E1,320.38,1.08,0.53,0.66,3.02,2.61
Ground-floor apartment,E1,319.89,0.72,0.15,0.48,2.84,2.08
House,E1,321.00,0.80,0.39,0.63,3.15,2.72
Maisonette,E1,320.51,0.75,0.44,0.56,2.93,2.64
Mid-floor apartment,E1,319.78,0.88,0.08,0.37,2.95,1.74
Mid-terrace house,E1,320.27,1.34,0.78,0.57,3.20,2.65
Semi-detached house,E1,320.38,1.10,0.54,0.61,3.04,2.55
Top-floor apartment,E1,320.16,0.75,0.42,0.19,2.86,1.93
Apartment,E2,360.04,0.63,0.27,0.42,2.87,2.20
Basement Dwelling,E2,359.38,1.19,0.32,0.56,3.50,2.61
Detached house,E2,360.31,1.12,0.63,0.69,3.11,2.69
End of terrace house,E2,360.50,1.29,0.67,0.69,3.09,2.64
Ground-floor apartment,E2,359.90,0.82,0.17,0.52,2.95,2.15
House,E2,360.45,1.05,0.55,0.66,3.26,2.67
Maisonette,E2,358.90,0.95,0.65,0.64,2.90,2.46
Mid-floor apartment,E2,359.68,1.00,0.11,0.46,3.03,1.61
Mid-terrace house,E2,359.87,1.52,0.98,0.60,3.35,2.71
Semi-detached house,E2,360.07,1.27,0.62,0.63,3.13,2.56
Top-floor apartment,E2,360.01,0.84,0.51,0.27,2.95,1.95
Apartment,F,413.31,0.79,0.38,0.51,3.16,2.23
Basement Dwelling,F,418.46,1.47,0.63,0.62,3.24,2.15
Detached house,F,414.64,1.32,0.80,0.72,3.23,2.72
End of terrace house,F,413.48,1.50,0.87,0.73,3.31,2.66
Ground-floor apartment,F,412.79,1.04,0.32,0.59,3.11,2.10
House,F,415.17,1.32,0.76,0.70,3.39,2.69
Maisonette,F,414.60,1.17,0.84,0.75,3.15,2.44
Mid-floor apartment,F,412.59,1.14,0.17,0.49,3.23,1.63
Mid-terrace house,F,413.12,1.69,1.28,0.63,3.53,2.75
Semi-detached house,F,412.74,1.43,0.79,0.66,3.30,2.59
Top-floor apartment,F,414.08,1.07,0.77,0.38,3.07,1.89
Apartment,G,676.33,1.35,0.98,0.64,3.50,2.30
Basement Dwelling,G,598.88,1.66,0.76,0.73,3.70,1.97
Detached house,G,677.17,1.73,1.47,0.82,3.67,2.79
End of terrace house,G,610.64,1.80,1.47,0.79,3.72,2.80
Ground-floor apartment,G,624.62,1.49,0.73,0.73,3.46,2.03
House,G,744.32,1.71,1.38,0.80,3.79,2.76
Maisonette,G,617.97,1.50,1.45,0.85,3.52,2.54
Mid-floor apartment,G,604.90,1.52,0.44,0.49,3.51,1.64
Mid-terrace house,G,614.49,1.87,1.75,0.67,3.88,2.84
Semi-detached house,G,623.14,1.70,1.34,0.75,3.66,2.73
Top-floor apartment,G,645.55,1.53,1.57,0.44,3.44,1.76
