PropertyID,CountyName,DwellingTypeDescr,Year_of_Construction,TypeofRating,EnergyRating,BerRating,TotalFloorArea,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,WallArea,RoofArea,FloorArea,WindowArea,DoorArea,NoStoreys,CO2Rating,MainSpaceHeatingFuel,MainWaterHeatingFuel,HSMainSystemEfficiency,MultiDwellingMPRN,HSSupplSystemEff,WHMainSystemEff,GroundFloorUValue,SolarHotWaterHeating,InsulationType,InsulationThickness,GroundFloorArea,GroundFloorHeight,FirstFloorArea,FirstFloorHeight,SecondFloorArea,SecondFloorHeight,ThirdFloorArea,ThirdFloorHeight,RoomInRoofArea,PurposeOfRating,DateOfAssessment
1105165,Leitrim,Top-floor apartment,2005,Existing   ,C2,182.79,81.25,0.7,0.13,0,2.2,1.36,40.69,81.25,0,10.37,2.43,1,35.94,Electricity ,Electricity,100,NO,100,100,0,,,,81.25,2.48,0,0,0,0,0,0,0,Sale,03/08/2022
1099928,Leitrim,Detached house,2005,Existing   ,C3,202.28,129.2,0.37,0.4,0.37,2.2,3,156.2,65.09,65.09,17.68,2.49,2,51.5,Heating Oil ,Heating Oil ,85,NO,30,85,0,,,,65.09,2.49,64.11,2.71,0,0,0,0,0,Sale,03/06/2022
1099963,Leitrim,Detached house,2004,Existing   ,C3,208.04,112.48,0.55,0.5,0.41,2.2,3,101.88,57.05,57.05,17.33,3.85,2,52.65,Heating Oil ,Heating Oil ,79,NO,30,79,0,,,,57.05,2.49,55.43,2.78,0,0,0,0,0,Sale,03/06/2022
1096919,Leitrim,Top-floor apartment,2002,Existing   ,D1,246.39,66.28,0.68,0.39,0,3.1,1.36,89.79,37.02,0,4.7,1.78,2,48.45,Electricity ,Electricity,100,NO,100,100,0,,,,31.37,2.38,34.91,2.57,0,0,0,0,0,Sale,03/05/2022
1054337,Leitrim,Detached house,1978,Existing   ,D2,292.53,114.88,0.39,0.16,0.56,2.8,3.23,122.36,114.88,114.88,19.56,3.65,1,73.03,Heating Oil ,Heating Oil ,65,NO,60,65,0,,,,114.88,2.57,0,0,0,0,0,0,0,Sale,03/07/2020
1136717,Leitrim,Detached house,1920,Existing   ,F,383.58,83.85,1.52,1.75,0.87,2,3,86.04,58.71,50.85,5.92,3.58,2,93.87,Heating Oil ,Heating Oil ,79,NO,65,79,0,,,,50.85,2.1,33,2.14,0,0,0,0,0,Sale,03/07/2023
1086408,Leitrim,Detached house,1978,Existing   ,G,494.23,65.81,1.1,0.2,0.64,4.8,3.81,71.34,65.81,65.81,9.62,4.49,1,124.3,Heating Oil ,Heating Oil ,65,NO,45,65,0,,,,65.81,2.5,0,0,0,0,0,0,0,Sale,03/11/2021
1134165,Leitrim,Detached house,1960,Existing   ,G,530.41,78.27,1.7,1.35,0.84,3.1,3.53,85.75,15.27,78.27,10.12,3.2,1,129.2,Heating Oil ,Electricity,60,NO,30,100,0,,,,78.27,2.57,0,0,0,0,0,0,0,Sale,03/06/2023
1139632,Leitrim,Detached house,1950,Existing   ,G,455.69,59.945,1.41,0.13,0.82,4.8,3,68.47,59.95,59.95,6.79,3.85,1,110.24,Heating Oil ,Heating Oil ,65,NO,60,65,0,,,,59.945,2.5,0,0,0,0,0,0,0,Sale,03/08/2023
1145025,Leitrim,Semi-detached house,1910,Existing   ,G,799.55,124,2.1,0.68,0.81,4.8,3.45,151.29,62,62,18.8,3.96,2,266.23,Solid Multi-Fuel,Solid Multi-Fuel,45,NO,30,45,0,,,,62,2.41,62,2.83,0,0,0,0,0,Sale,03/10/2023
1164878,Leitrim,Detached house,1945,Existing   ,G,467,94.68,1.49,1.63,0.95,2.8,2.74,151.99,59.71,51.32,13.43,4.12,2,116.8,Heating Oil ,Heating Oil ,65,NO,65,65,0,NO ,Loose Jacket  ,25,51.32,2.41,43.36,2.88,0,0,0,0,0,Sale,03/04/2017
1167578,Leitrim,Detached house,1935,Existing   ,G,682.02,66.55,2.1,2.3,0.94,4.33,3,84.86,69.43,66.55,12.89,2.1,1,252.56,Solid Multi-Fuel,Solid Multi-Fuel,65,NO,30,65,0,,,,66.55,2.61,0,0,0,0,0,0,0,Grant Support,03/11/2023
1134190,Leitrim,Detached house,1985,Existing   ,A2,41.02,183,0.31,0.16,0.13,1.41,3,193.23,99.4,99,42.56,3.7,2,6.8,Electricity ,Electricity,407.43,NO,78.2,287.87,0,,,,99,2.31,84,2.62,0,0,0,0,0,Grant Support,04/06/2023
