PropertyID,CountyName,DwellingTypeDescr,Year_of_Construction,TypeofRating,EnergyRating,BerRating,TotalFloorArea,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,WallArea,RoofArea,FloorArea,WindowArea,DoorArea,NoStoreys,CO2Rating,MainSpaceHeatingFuel,MainWaterHeatingFuel,HSMainSystemEfficiency,MultiDwellingMPRN,HSSupplSystemEff,WHMainSystemEff,GroundFloorUValue,SolarHotWaterHeating,InsulationType,InsulationThickness,GroundFloorArea,GroundFloorHeight,FirstFloorArea,FirstFloorHeight,SecondFloorArea,SecondFloorHeight,ThirdFloorArea,ThirdFloorHeight,RoomInRoofArea,PurposeOfRating,DateOfAssessment
65,Leitrim,Top-floor apartment,1999,Existing,C2,179.33,76.34,0.55,0.26,0,2.87,3,32.45,35.98,0,9.87,1.79,2,38.73,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,35,38.17,2.44,38.17,2.47,0,0,0,0,0,Sale,12/01/2016
225,Leitrim,Detached house,2002,Existing,C3,208.24,176.27,0.55,0.4,0.44,2.71,2.95,188.17,101.36,101.36,29.71,6.17,2,53.56,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,25,101.36,2.45,74.91,2.78,0,0,0,0,0,Sale,14/01/2016
426,Leitrim,Mid-terrace house,2004,Existing,E2,343.47,50.03,0.3,0.13,0.36,2.7,3.01,31.07,50.03,50.03,7.12,3.82,1,87.92,Electricity ,House Coal,100,NO,45,45,0,NO ,Factory Insulated             ,25,50.03,2.54,0,0,0,0,0,0,0,Social housing letting,18/11/2015
602,Leitrim,End of terrace house,1939,Existing,G,1283.22,63.41,2.2,2.3,0.94,3.94,3,79.06,35.2,34.75,8.12,3.46,2,413.02,Solid Multi-Fuel,Electricity ,30,NO,100,100,0,NO ,None                          ,0,34.74,2.37,28.67,2.65,0,0,0,0,0,Sale,19/01/2016
856,Leitrim,Detached house,2000,Existing,C2,194.02,159.3,0.55,0.26,0.44,2.6,2.5,168.21,79.65,79.65,26.58,3.78,2,49.59,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,Factory Insulated             ,35,79.65,2.35,79.65,2.55,0,0,0,0,0,Sale,21/01/2016
1277,Leitrim,Semi-detached house,2002,Existing,C3,213.93,90.66,0.55,0.13,0.44,2.7,2.37,88.72,45.33,45.33,13.05,3.8,2,53.05,Heating Oil ,Heating Oil ,85.7,NO,45,85.7,0,NO ,Loose Jacket                  ,40,45.33,2.42,45.33,2.73,0,0,0,0,0,Grant Support,26/01/2016
1537,Leitrim,End of terrace house,2005,Existing,D1,236.92,88.38,0.37,0.13,0.34,2.02,3,77.47,44.19,44.19,16.08,1.85,2,54.08,Electricity ,Electricity ,100,NO,30,100,0,NO ,Factory Insulated             ,35,44.19,2.45,44.19,2.71,0,0,0,0,0,Sale,28/01/2016
1643,Leitrim,End of terrace house,1900,Existing,F,409.76,87.06,1.87,0.4,0.73,4.72,3,91.4,43.53,43.53,7.57,3.61,2,103.77,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,None                          ,0,43.53,2.4,43.53,2.76,0,0,0,0,0,Sale,29/01/2016
1740,Leitrim,Mid-terrace house,2002,Existing,D1,246.81,74.82,0.55,0.26,0.29,2.7,3,32.38,37.41,37.41,14.13,1.85,2,53.31,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,35,37.41,2.59,37.41,3.44,0,0,0,0,0,Sale,29/01/2016
1834,Leitrim,Detached house,2002,Existing,C3,201.71,185.82,0.55,0.36,0.41,3.1,3,172.87,97.84,92.91,19.16,4.42,2,51.42,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,Factory Insulated             ,25,92.91,2.55,92.91,2.67,0,0,0,0,0,Sale,28/01/2016
1918,Leitrim,Detached house,2004,Existing,C1,162.61,167.28,0.55,0.13,0.44,2.01,2.95,201.25,82.94,83.64,18.23,3.99,2,42.18,Heating Oil ,Heating Oil ,85.7,NO,30,85.7,0,NO ,Factory Insulated             ,25,83.64,2.57,83.64,2.9,0,0,0,0,0,Sale,01/02/2016
1986,Leitrim,Semi-detached house,2002,Existing,B3,138.47,91.04,0.3,0.14,0.44,3.1,3,126.35,46.3,46.3,15.38,2.71,2,34.57,Heating Oil ,Heating Oil ,94.5,NO,60,94.5,0,YES,Factory Insulated             ,30,46.3,2.44,44.74,2.81,0,0,0,0,0,Grant Support,26/01/2016
2122,Leitrim,Detached house,2001,Existing,C2,190.43,256.58,0.55,0.36,0.41,2.7,3,129.47,132.15,194.95,57.35,4.95,2,49.44,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,40,194.94,2.69,0,0,0,0,0,0,61.64,Private Letting,03/02/2016
2380,Leitrim,Detached house,2005,Provisional,C1,168.96,198.72,0.37,0.2,0.34,2.2,2.54,180.37,99.36,99.36,28.12,6.23,2,43.08,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,25,99.36,2.6,99.36,2.71,0,0,0,0,0,Sale,06/02/2016
3023,Leitrim,Detached house,1999,Existing,C2,181.77,211.41,0.46,0.2,0.36,3.07,3.08,174.22,157.11,150.96,23.67,4.76,2,46.8,Heating Oil ,Heating Oil ,75,NO,30,75,0,YES,Factory Insulated             ,35,150.96,2.59,60.45,1.84,0,0,0,0,0,Other,10/02/2016
3384,Leitrim,Detached house,2003,Existing,C2,196.89,165.14,0.51,0.32,0.41,2.78,3,145.44,113.33,105.11,21.79,3.7,2,43.68,Heating Oil ,Heating Oil ,85.5,NO,60,85.5,0,NO ,Loose Jacket                  ,50,105.11,2.58,60.03,2.07,0,0,0,0,0,Private Letting,28/01/2016
3882,Leitrim,Detached house,2004,Existing,C3,223.98,108.9,0.55,0.36,0.44,2.2,3,142.55,54.45,54.45,17.34,4.14,2,56.88,Heating Oil ,Heating Oil ,85.5,NO,30,85.5,0,NO ,Factory Insulated             ,20,54.45,2.65,54.45,2.87,0,0,0,0,0,Sale,19/02/2016
3903,Leitrim,Detached house,1998,Existing,C3,223.87,148.56,0.55,0.14,0.41,2.8,2.9,112.65,148.56,148.56,26.56,1.85,1,57.45,Heating Oil ,Heating Oil ,92.2,NO,30,92.2,0,NO ,Loose Jacket                  ,40,148.56,2.56,0,0,0,0,0,0,0,Grant Support,22/02/2016
4256,Leitrim,Detached house,2005,Existing,C3,204.09,139.39,0.37,0.26,0.37,2.2,3,140.22,74.63,71.4,20.83,4.1,2,43.16,Bulk LPG (propane or butane),Bulk LPG (propane or butane),73,NO,20,73,0,NO ,Factory Insulated             ,35,67.99,2.43,71.4,2.58,0,0,0,0,0,Sale,23/02/2016
4268,Leitrim,Detached house,1940,Existing,B2,113.92,270.19,0.45,0.25,0.34,2.06,0,198.59,164.64,150.67,40.7,0,2,27.3,Heating Oil ,Heating Oil ,94.4,NO,0,94.4,0,NO ,Factory Insulated             ,40,150.64,2.37,119.55,2.23,0,0,0,0,0,Sale,23/02/2016
4628,Leitrim,Detached house,2007,Existing,B2,117.58,159.76,0.37,0.13,0.34,3.1,3,127.75,159.76,159.76,30.19,4.99,1,29.43,Electricity ,Electricity ,428.7,NO,30,428.7,0.34,NO ,Factory Insulated             ,100,159.76,2.76,0,0,0,0,0,0,0,Sale,24/10/2015
5163,Leitrim,Detached house,2003,Existing,C3,200.97,189.21,0.55,0.36,0.41,2.8,3,137,115.83,100.26,46.04,1.85,2,50.45,Heating Oil ,Heating Oil ,85.7,NO,65,85.7,0,NO ,Factory Insulated             ,20,100.26,2.58,88.95,2.27,0,0,0,0,0,Sale,26/02/2016
5166,Leitrim,Detached house,1900,Existing,F,417.04,177.42,1.71,0.51,0.75,2.89,1.71,215.65,97.14,97.14,17.77,4.15,2,93.65,Bulk LPG (propane or butane),Bulk LPG (propane or butane),65,NO,45,65,0,NO ,Loose Jacket                  ,20,97.15,2.82,80.27,3.09,0,0,0,0,0,Sale,03/03/2016
5370,Leitrim,Semi-detached house,2004,Existing,C2,189.6,120.59,0.55,0.4,0.41,2.2,3,101.57,63.09,63.09,13.26,3.7,2,47.64,Heating Oil ,Heating Oil ,83,NO,30,83,0,NO ,Factory Insulated             ,25,63.09,2.4,57.5,2.69,0,0,0,0,0,Sale,07/03/2016
5557,Leitrim,Detached house,2000,Existing,E1,328.04,99.59,0.55,0.4,0.41,2.8,3,88.87,99.59,99.59,12.56,3.68,1,83.79,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,None                          ,0,99.59,2.5,0,0,0,0,0,0,0,Sale,03/03/2016
5625,Leitrim,Semi-detached house,2002,Existing,E2,357.87,69.87,0.3,0.13,0.41,2.7,2.45,58.43,69.87,69.87,6.93,4.24,1,112.44,House Coal,House Coal,45,NO,0,45,0,NO ,Factory Insulated             ,25,69.87,2.39,0,0,0,0,0,0,0,Social housing letting,09/03/2016
5652,Leitrim,Semi-detached house,2000,Existing,F,402.59,47.49,0.3,0.13,0.44,2.7,2.35,41.75,47.49,47.49,7.5,3.82,1,125.53,House Coal,House Coal,45,NO,0,45,0,NO ,Loose Jacket                  ,80,47.49,2.44,0,0,0,0,0,0,0,Social housing letting,09/03/2016
5679,Leitrim,Semi-detached house,2004,Existing,C3,208.69,122.1,0.55,0.4,0.41,2.8,3,119.06,61.83,61.83,19.45,4.15,2,53.75,Heating Oil ,Heating Oil ,85.3,NO,30,85.3,0,NO ,Factory Insulated             ,50,61.83,2.77,60.27,2.9,0,0,0,0,0,Sale,04/03/2016
6038,Leitrim,Detached house,2010,Existing,B3,135.39,205.54,0.37,0.26,0.34,1.9,2,193.61,107.18,107.18,33.19,3.98,2,34.03,Heating Oil ,Heating Oil ,94.4,NO,60,94.4,0,NO ,Factory Insulated             ,35,107.18,2.68,98.36,2.67,0,0,0,0,0,Private Letting,08/03/2016
6075,Leitrim,Detached house,2006,Existing,D1,232.98,117.1,0.37,0.25,0.31,2,2,112.35,137.08,117.1,21.13,8.91,1,54.21,Bulk LPG (propane or butane),Bulk LPG (propane or butane),80,NO,30,80,0,NO ,None                          ,0,117.1,3.85,0,0,0,0,0,0,0,Sale,12/03/2016
6668,Leitrim,Top-floor apartment,2001,Existing,D1,230.84,67.34,0.66,0.36,0,3.1,1.36,65.84,38.81,0,4.61,1.77,2,49.86,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,60,31.91,2.39,35.43,2.52,0,0,0,0,0,Social housing letting,16/03/2016
6701,Leitrim,Mid-floor apartment,2007,Existing,C2,177.77,53.09,0.35,0,0,2,1.36,49.53,0,0,9.59,1.83,1,38.4,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,50,53.09,2.69,0,0,0,0,0,0,0,Sale,18/03/2016
6756,Leitrim,Top-floor apartment,2007,Existing,C3,217.52,70.01,0.34,0.25,0,2,1.36,69.94,70.01,0,9.84,1.75,1,46.98,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,50,70.01,2.69,0,0,0,0,0,0,0,Private Letting,19/03/2016
6860,Leitrim,Semi-detached house,1983,Existing,C3,207.51,100.55,0.54,0.13,0.54,2.15,2.51,106.76,56.77,56.28,12.52,5.4,2,53.43,Heating Oil ,Heating Oil ,85.5,NO,30,85.5,0,NO ,Factory Insulated             ,28,56.28,2.46,44.27,2.74,0,0,0,0,0,Social housing letting,09/03/2016
6891,Leitrim,Top-floor apartment,2007,Existing,C3,218.75,73.62,0.35,0.26,0,2,1.36,44.21,73.62,0,12.03,1.75,1,47.25,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,73.62,2.7,0,0,0,0,0,0,0,Private Letting,21/03/2016
6939,Leitrim,Detached house,2005,Existing,C2,183.57,152.49,0.37,0.25,0.37,2.2,3,168.75,85.96,84.34,24.94,3.35,2,47.29,Heating Oil ,Heating Oil ,85.1,NO,30,85.1,0,NO ,Factory Insulated             ,35,84.34,2.49,68.15,2.72,0,0,0,0,0,Sale,21/03/2016
6949,Leitrim,Top-floor apartment,2007,Existing,D2,271.6,44.17,0.34,0.26,0,2,1.36,40.81,44.17,0,8.85,1.8,1,58.66,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,44.17,2.69,0,0,0,0,0,0,0,Private Letting,22/03/2016
6991,Leitrim,Semi-detached house,1998,Existing,C3,212.9,47.5,0.55,0.13,0.44,2.7,2.85,42.13,47.5,47.5,7.15,4.34,1,48.4,Electricity ,Electricity ,250,NO,65,100,0,NO ,Factory Insulated             ,25,47.5,2.47,0,0,0,0,0,0,0,Sale,16/03/2016
6992,Leitrim,Detached house,1998,Existing,C2,181.29,76.65,0.55,0.13,0.44,2.8,2.85,78.63,76.65,76.65,9.38,3.67,1,45.74,Heating Oil ,Heating Oil ,95.2,NO,65,95.2,0,NO ,Factory Insulated             ,40,76.65,2.47,0,0,0,0,0,0,0,Sale,18/03/2016
7010,Leitrim,Top-floor apartment,2007,Existing,D1,233.14,69.72,0.34,0.25,0,2,1.36,68,69.72,0,9.74,1.81,1,50.35,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,69.72,2.69,0,0,0,0,0,0,0,Private Letting,21/03/2016
7154,Leitrim,Top-floor apartment,2007,Existing,D2,275.15,43.91,0.35,0.25,0,3.31,1.36,38.27,43.91,0,8.92,1.81,1,59.43,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,43.91,2.69,0,0,0,0,0,0,0,Sale,23/03/2016
7205,Leitrim,Top-floor apartment,2000,Existing,D1,255.4,71.36,0.52,0.36,0,2.7,1.36,54.83,71.36,0,12.86,1.81,1,55.16,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,35,71.36,2.67,0,0,0,0,0,0,0,Sale,23/03/2016
7259,Leitrim,Top-floor apartment,2007,Existing,C2,195.07,74.25,0.35,0.25,0,2.31,1.36,51.51,70.87,0,7.57,1.66,1,42.13,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,74.25,2.44,0,0,0,0,0,0,0,Sale,23/03/2016
7277,Leitrim,Detached house,1888,Existing,E1,328.82,251.73,1.43,1.08,0.76,3.1,2.36,315.98,130.12,125.16,30.53,3.7,2,80.59,Heating Oil ,Heating Oil ,79,NO,55,79,0,NO ,Factory Insulated             ,25,125.16,2.9,126.57,3.08,0,0,0,0,0,Sale,07/03/2016
7307,Leitrim,Detached house,2010,Existing,B1,88.38,268.74,0.36,0.23,0.34,2.2,2.74,187.8,186.06,175.51,32.33,5.63,2,21.66,Electricity ,Electricity ,392,NO,30,392,0,NO ,Factory Insulated             ,50,175.51,2.57,93.23,2.08,0,0,0,0,0,Sale,11/03/2016
7406,Leitrim,Ground-floor apartment,2007,Existing,D1,248.61,126.88,0.37,0,0.26,4.8,3,50.28,0,126.88,25.84,1.83,1,53.7,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,126.88,2.99,0,0,0,0,0,0,0,Sale,24/03/2016
7407,Leitrim,Ground-floor apartment,2007,Existing,D1,235.98,78.26,0.37,0,0.26,4.8,3,23.03,0,78.26,12.44,1.8,1,50.97,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,40,78.26,2.86,0,0,0,0,0,0,0,Sale,24/03/2016
7517,Leitrim,Semi-detached house,2006,Existing,C2,190.41,125.34,0.37,0.22,0.34,2.2,2.7,109.8,64.64,64.5,16.58,4.91,2,47.85,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,25,64.5,2.5,60.84,2.75,0,0,0,0,0,Sale,24/03/2016
7802,Leitrim,Detached house,1900,Existing,G,566.2,84.58,1.71,2.3,0.86,3.52,3,93.65,84.56,84.56,16.2,5.47,1,145.13,Heating Oil ,Heating Oil ,85,NO,45,85,0,NO ,Loose Jacket                  ,20,84.58,2.46,0,0,0,0,0,0,0,Sale,31/03/2016
8022,Leitrim,Detached house,2007,Existing,D2,264.59,196.78,0.37,0.25,0.34,2.81,3,159.09,142.87,124.31,43.76,2.1,2,60.95,Electricity ,Electricity ,100,NO,30,100,0,NO ,Factory Insulated             ,50,124.31,2.86,72.47,2.4,0,0,0,0,0,Sale,31/03/2016
8034,Leitrim,Semi-detached house,1955,Existing,D1,253.04,96.34,0.34,0.13,0.65,3.07,2.8,85.91,48.17,48.17,15.44,5.5,2,63.95,Heating Oil ,Heating Oil ,70,NO,30,70,0,NO ,Factory Insulated             ,25,48.17,2.51,48.17,2.66,0,0,0,0,0,Sale,30/03/2016
8039,Leitrim,Detached house,2002,Provisional,E1,334.19,171.52,0.55,0.36,0.43,2.7,3,141.24,130,127.4,39.81,1.99,2,72.18,Electricity ,Electricity ,100,NO,30,100,0,NO ,None                          ,0,127.4,2.59,44.12,2.44,0,0,0,0,0,Sale,22/03/2016
8174,Leitrim,Mid-floor apartment,2001,Existing,D1,232.6,54.72,0.55,0.36,0,2.8,3,49.51,2.15,0,10.27,1.8,1,50.24,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,50,0,0,54.72,2.72,0,0,0,0,0,Sale,04/04/2016
8360,Leitrim,Top-floor apartment,1900,Existing,G,612.16,47.02,2.1,2.3,0.73,3.1,3.03,43.52,52.55,47.02,4.41,1.45,1,145.62,Heating Oil ,Heating Oil ,85,NO,100,85,0,NO ,None                          ,0,0,0,47.02,2.66,0,0,0,0,0,Private Letting,06/04/2016
8443,Leitrim,Top-floor apartment,1900,Existing,G,560.58,61.66,2.1,2.3,0.73,3.1,3.03,44.62,68.32,61.66,5.49,1.76,1,133.58,Heating Oil ,Heating Oil ,85,NO,100,85,0,NO ,None                          ,0,0,0,61.66,2.66,0,0,0,0,0,Private Letting,06/04/2016
8444,Leitrim,Top-floor apartment,1900,Existing,G,731.43,43.35,1.68,2.3,0,3.1,0,44.86,45.44,0,4.04,0,1,160.52,Electricity ,Heating Oil ,100,NO,100,65,0,NO ,Factory Insulated             ,20,0,0,0,0,43.35,2.88,0,0,0,Private Letting,06/04/2016
8955,Leitrim,Detached house,2002,Existing,C3,215.34,156.19,0.55,0.26,0.41,3.1,3,104.36,156.19,156.19,32.14,4.92,1,45.53,Bulk LPG (propane or butane),Bulk LPG (propane or butane),78.2,NO,63,78.2,0,NO ,Factory Insulated             ,25,156.19,2.4,0,0,0,0,0,0,0,Sale,08/04/2016
9106,Leitrim,Detached house,1979,Existing,E1,315.96,123.92,0.6,0.4,0.64,2.7,2,132,61.96,61.96,23.05,3.82,2,80.16,Heating Oil ,Heating Oil ,60,NO,30,60,0,NO ,Loose Jacket                  ,20,61.96,2.47,61.96,2.57,0,0,0,0,0,Sale,12/04/2016
9649,Leitrim,Detached house,2005,Provisional,D1,235.13,177.64,0.37,0.25,0.37,2.2,3,165.83,96.47,88.88,22.4,3.72,2,50.78,Electricity ,Electricity ,100,NO,0,100,0,NO ,Factory Insulated             ,30,88.82,2.56,88.82,2.63,0,0,0,0,0,Sale,13/04/2016
9726,Leitrim,Detached house,1890,Existing,G,1050.54,55.94,1.41,2.3,0.98,2.7,2.97,89.57,57.14,55.94,6.49,4.27,1,240.79,Electricity ,Electricity ,100,NO,60,100,0,NO ,Loose Jacket                  ,25,55.94,2.85,0,0,0,0,0,0,0,Sale,19/04/2016
9808,Leitrim,Semi-detached house,2003,Existing,C3,206.32,122.4,0.59,0.36,0.36,2.8,3,110.37,64.46,64.46,16.82,4.59,2,52.9,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,Factory Insulated             ,35,64.46,2.42,57.94,2.72,0,0,0,0,0,Sale,15/04/2016
9970,Leitrim,Detached house,2004,Existing,C2,199.89,156.14,0.55,0.26,0.41,2,3,122.42,156.14,156.14,19.64,3.7,1,48.68,Heating Oil ,Heating Oil ,83,NO,60,83,0,NO ,Factory Insulated             ,30,156.14,2.65,0,0,0,0,0,0,0,Sale,15/04/2016
9987,Leitrim,Detached house,1955,Existing,G,1328.3,89.16,2.1,2.3,0.76,4.8,3.3,90.73,89.17,89.17,10.09,3.98,1,434.17,Solid Multi-Fuel,Electricity ,30,NO,60,100,0,NO ,Loose Jacket                  ,25,89.16,2.5,0,0,0,0,0,0,0,Sale,20/04/2016
10006,Leitrim,Mid-terrace house,1999,Existing,D1,228.8,99.88,0.55,0.26,0.29,2.71,3,45.21,49.94,49.94,15.56,1.88,2,53.59,Electricity ,Electricity ,100,NO,30,100,0,NO ,Factory Insulated             ,35,49.94,2.5,49.94,2.71,0,0,0,0,0,Sale,20/04/2016
10483,Leitrim,Detached house,2015,Existing,B3,140.28,252.14,0.16,0.4,0.13,0.76,1.6,177.93,248,252.14,98.33,1.8,1,33.13,Heating Oil ,Heating Oil ,65,NO,72,65,0.13,NO ,Factory Insulated             ,35,252.14,2.81,0,0,0,0,0,0,0,Other,25/04/2016
10588,Leitrim,Detached house,1930,Existing,E1,328.91,184.93,2.14,0.13,0.73,2.9,3.58,175.27,122.8,122.8,20.71,8.17,2,83.75,Heating Oil ,Heating Oil ,83,NO,45,83,0,NO ,Loose Jacket                  ,40,122.8,2.46,62.13,2.63,0,0,0,0,0,Grant Support,21/04/2016
10804,Leitrim,Detached house,1995,Existing,D1,234.14,115.17,0.32,0.16,0.36,4.8,3,96.73,115.17,115.17,17.63,3.93,1,59.19,Heating Oil ,Heating Oil ,85.5,NO,60,85.5,0,NO ,Factory Insulated             ,35,115.17,2.54,0,0,0,0,0,0,0,Sale,26/04/2016
10867,Leitrim,Detached house,1978,Existing,D2,289.56,89.17,0.31,0.13,0.64,2.8,2.32,92.39,89.17,89.17,14.66,3.7,1,69.93,Heating Oil ,Heating Oil ,70,NO,70,70,0,NO ,Loose Jacket                  ,25,89.17,2.59,0,0,0,0,0,0,0,Grant Support,28/04/2016
10886,Leitrim,Detached house,1982,Existing,G,482.68,141.58,0.59,0.4,0.63,2.5,1.71,153.31,75.41,75.19,28.81,4.39,2,145.71,Solid Multi-Fuel,Electricity ,30,NO,100,100,0,NO ,None                          ,0,75.19,2.49,66.39,2.72,0,0,0,0,0,Sale,28/04/2016
11276,Leitrim,Detached house,2004,Existing,D1,227.06,142.96,0.55,0.2,0.41,2.2,2.89,115.96,142.96,142.96,21.45,4.91,1,57.97,Heating Oil ,Heating Oil ,85.5,NO,30,85.5,0,NO ,Factory Insulated             ,35,142.96,2.62,0,0,0,0,0,0,0,Sale,04/05/2016
11765,Leitrim,Detached house,1990,Existing,D1,234.15,250.95,0.37,0.43,0.57,3.1,3,202.45,208.47,199.56,37.77,3.7,2,58.66,Heating Oil ,Heating Oil ,70,NO,60,70,0,NO ,Factory Insulated             ,40,199.56,2.57,51.39,1.95,0,0,0,0,0,Grant Support,09/05/2016
11942,Leitrim,Detached house,1950,Existing,E1,304.01,212.01,0.91,0.6,0.54,2.77,2.38,196.61,167.49,164.16,53.47,3.69,2,75.95,Heating Oil ,Heating Oil ,65,NO,65,65,0,NO ,Factory Insulated             ,30,164.2,2.47,47.81,2.8,0,0,0,0,0,Grant Support,11/05/2016
11947,Leitrim,Detached house,2004,Existing,C2,196.51,146.45,0.34,0.15,0.44,2.28,3,153.2,76.15,73.89,24.39,4.89,2,50.25,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,35,73.89,2.46,72.56,2.71,0,0,0,0,0,Grant Support,09/05/2016
12054,Leitrim,Detached house,1900,Existing,G,644.49,85.33,1.24,1.5,0.82,2.2,3,122.67,96.25,74.61,9.65,4.81,2,149.15,Electricity ,Electricity ,100,NO,60,100,0,NO ,None                          ,0,74.61,3.04,10.72,1.32,0,0,0,0,0,Sale,09/05/2016
12061,Leitrim,Detached house,2005,Existing,C1,174.98,266.05,0.36,0.25,0.34,2.2,4.79,222.11,189.67,177.7,45.63,16.54,2,45.42,Heating Oil ,Heating Oil ,84.8,NO,30,84.8,0.34,NO ,Factory Insulated             ,35,177.7,2.91,88.35,2.1,0,0,0,0,0,Sale,09/05/2016
12162,Leitrim,Semi-detached house,2001,Existing,C3,215.2,122.1,0.54,0.26,0.41,2.7,1.91,120.24,63.27,58.83,19.55,5.29,2,54.56,Heating Oil ,Heating Oil ,85.5,NO,30,85.5,0,NO ,Loose Jacket                  ,20,58.83,2.46,63.27,2.72,0,0,0,0,0,Private Letting,11/05/2016
12222,Leitrim,Detached house,1974,Existing,G,528.78,130.5,1.84,1.85,0.59,3.26,3.24,103.39,130.5,130.5,25.65,1.86,1,135.1,Heating Oil ,Heating Oil ,70,NO,45,70,0,NO ,Factory Insulated             ,30,130.5,2.52,0,0,0,0,0,0,0,Sale,09/05/2016
12345,Leitrim,Detached house,1968,Existing,D1,250.46,126,0.28,0.13,0.64,2.45,2.71,99.73,126,126,21.61,5.73,1,62.94,Heating Oil ,Heating Oil ,85.3,NO,65,85.3,0,NO ,Factory Insulated             ,50,126,2.55,0,0,0,0,0,0,0,Grant Support,11/05/2016
12361,Leitrim,Detached house,1888,Existing,G,817.6,108.13,1.94,2.3,1.1,4.8,3,171.45,76.22,68.13,10.54,5.42,2,267.11,Solid Multi-Fuel,Electricity ,60,NO,30,100,0,NO ,None                          ,0,68.13,3.06,40,2.85,0,0,0,0,0,Sale,03/05/2016
12373,Leitrim,Detached house,2016,Existing,B3,147.44,152.5,0.26,0.13,0.34,1.3,0,126.7,152.5,152.5,32.27,0,1,37.28,Heating Oil ,Heating Oil ,92.4,NO,65,92.4,0,NO ,Factory Insulated             ,40,152.5,2.68,0,0,0,0,0,0,0,Sale,21/04/2016
12603,Leitrim,Semi-detached house,2006,Existing,C1,173.14,144.3,0.36,0.61,0.31,2,2.82,92.19,86.1,86.17,17.41,3.8,2,44.13,Heating Oil ,Heating Oil ,85.3,NO,30,85.3,0,NO ,Factory Insulated             ,25,86.17,2.44,58.13,2.69,0,0,0,0,0,Sale,16/05/2016
12794,Leitrim,Detached house,2006,Existing,B2,120.58,252.77,0.29,0.22,0.34,2,2.85,199.18,143.12,135.31,27.39,4.91,2,30.1,Heating Oil ,Heating Oil ,94.4,NO,65,94.4,0,NO ,Factory Insulated             ,25,135.31,2.51,117.46,2.78,0,0,0,0,0,Sale,18/05/2016
12865,Leitrim,Detached house,2004,Existing,C3,222.28,162.81,0.54,0.36,0.44,2.71,3,178.46,89.73,87.34,18.2,4.97,2,55.7,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,None                          ,0,87.34,2.57,75.47,2.6,0,0,0,0,0,Sale,18/05/2016
13138,Leitrim,Semi-detached house,2005,Existing,B3,135.82,132.88,0.37,0.2,0.31,1.9,2,101.88,66.44,66.44,20.15,2.04,2,31.12,Bulk LPG (propane or butane),Bulk LPG (propane or butane),92.5,NO,30,92.5,0,NO ,Factory Insulated             ,35,66.44,2.67,66.44,2.81,0,0,0,0,0,Sale,20/05/2016
13219,Leitrim,Semi-detached house,2000,Existing,C3,218.51,99.72,0.55,0.27,0.41,2.8,2.97,83.13,50.98,51.5,16.48,4.75,2,55.49,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,25,51.5,2.49,48.22,2.66,0,0,0,0,0,Sale,23/05/2016
13537,Leitrim,Detached house,1999,Existing,C2,181.06,152.57,0.33,0.13,0.44,2.71,3.01,160.19,83.62,83.62,30.13,5.12,2,46.07,Heating Oil ,Heating Oil ,94.4,NO,30,94.4,0,NO ,Loose Jacket                  ,25,83.62,2.41,68.95,2.68,0,0,0,0,0,Grant Support,25/05/2016
13569,Leitrim,Semi-detached house,2000,Existing,C1,165.3,118.26,0.32,0.16,0.41,2.8,1.71,93.42,60.76,59.13,13.88,1.85,2,40.45,Heating Oil ,Heating Oil ,85,NO,60,85,0,NO ,Factory Insulated             ,40,59.13,2.56,59.13,2.61,0,0,0,0,0,Grant Support,25/05/2016
